symbol	P4970_SR_1	P4970_SR_2	P4970_SR_3	P4970_SR_4	P4970_SR_5	P4970_SR_6	P4970_SR_7	P4970_SR_9	P4970_SR_10	P4970_SR_11	P4970_SR_12	P4970_SR_13	P4970_SR_14
RPS4XP16	0	39	0	0	8	9	1	0	0	0	9	0	11
RPS4XP17	0	1	15	0	11	25	20	6	0	2	11	0	13
RPS4XP18	0	0	0	0	0	0	0	0	0	0	0	0	0
RPS4XP19	0	0	0	0	0	0	0	0	0	8	0	0	0
RPS4XP2	1	0	0	1	0	5	0	0	0	0	0	0	9
RPS4XP20	0	0	0	0	0	0	0	0	0	0	0	0	0
RPS4XP21	0	0	0	0	0	0	0	0	0	0	0	0	0
RPS4XP22	0	0	0	0	0	0	0	0	0	0	0	0	0
RPS4XP23	0	0	0	0	0	0	0	0	0	0	0	0	0
RPS4XP3	34	90	12	60	51	45	51	0	15	12	33	0	83
RPS4XP4	0	0	0	0	0	0	0	0	0	0	0	0	0
RPS4XP5	0	0	0	0	0	0	0	0	0	3	0	1	0
RPS4XP6	11	12	16	14	41	35	7	7	10	3	12	22	48
RPS4XP7	0	0	0	0	0	0	0	0	0	0	1	0	0
RPS4XP8	0	0	0	0	0	0	0	0	0	0	0	0	0
RPS4XP9	0	0	0	0	0	0	0	0	0	0	0	0	0
RPS4Y1	352	1449	451	1483	1170	1563	1112	277	823	0	0	0	0
RPS4Y2	0	0	0	0	0	0	0	0	0	0	0	0	0
RPS5	934	2786	955	3076	4360	4102	3076	676	1549	593	1746	405	2525
RPS5P2	22	0	28	3	72	0	42	15	0	28	1	64	0
RPS5P3	0	0	0	0	0	6	0	0	0	10	2	0	3
RPS5P7	0	0	0	0	0	0	0	0	0	0	0	0	0
RPS6	3036	8120	2781	8312	12002	11354	7837	1651	3804	1787	6136	1298	7960
RPS6KA1	1170	2738	1018	3528	799	1962	3991	1048	2257	972	2170	1613	3356
RPS6KA2	107	121	82	190	118	188	414	75	171	185	300	23	98
RPS6KA2-AS1	0	18	5	0	0	8	0	15	24	19	37	5	27
RPS6KA2-IT1	0	4	0	0	1	0	0	0	0	0	20	0	3
RPS6KA3	1004	2159	1671	2692	1446	2430	3573	961	1508	1437	2158	902	2371
RPS6KA4	506	1961	283	1885	318	888	1223	194	1117	144	955	277	1793
RPS6KA5	52	208	68	553	451	329	341	112	201	129	358	121	204
RPS6KA6	0	0	6	0	106	0	16	0	0	0	3	1	0
RPS6KB1	129	458	311	547	792	586	390	159	622	204	575	99	401
RPS6KB2	101	578	179	539	274	655	449	31	525	92	575	91	524
RPS6KC1	340	854	210	967	255	583	810	92	648	184	696	199	766
RPS6KL1	38	26	49	46	84	40	41	6	40	73	107	49	56
RPS6P12	0	0	0	0	0	0	0	0	0	0	0	0	0
RPS6P16	3	6	6	18	0	9	0	8	15	0	29	8	10
RPS6P2	0	0	0	0	0	5	0	0	0	7	0	0	0
RPS6P20	0	0	0	0	0	0	0	0	0	0	0	0	0
RPS6P21	0	0	0	0	0	8	0	0	0	0	0	0	0
RPS6P22	0	0	0	0	0	0	0	0	0	0	0	0	0
RPS6P23	0	0	0	0	0	0	0	0	0	0	0	0	0
RPS6P7	0	0	0	0	0	0	0	0	0	0	0	0	0
RPS6P8	0	0	0	0	0	0	0	0	0	0	0	0	2
RPS7	1177	3895	1271	4083	4658	5004	3675	799	2040	685	2898	699	4401
RPS7P1	43	101	33	93	201	93	56	19	17	14	71	11	140
RPS7P10	97	142	23	97	81	152	67	16	51	27	60	32	142
RPS7P11	13	118	36	77	184	170	121	30	87	39	96	9	124
RPS7P12	0	0	0	0	0	0	0	0	0	0	0	0	0
RPS7P13	0	0	0	0	0	0	0	0	0	0	0	0	0
RPS7P14	0	0	11	0	0	22	9	0	0	0	0	0	8
RPS7P15	5	12	15	31	0	44	0	0	21	7	34	22	43
RPS7P2	0	0	0	0	0	0	9	0	0	0	0	0	0
RPS7P3	0	2	0	6	0	10	13	0	0	1	0	0	5
RPS7P4	24	30	1	27	40	29	48	0	0	0	15	0	25
RPS7P5	0	0	0	0	0	0	0	0	0	0	0	0	0
RPS7P6	0	23	0	0	0	0	0	0	0	0	0	0	1
RPS7P7	0	0	0	0	7	4	0	0	0	0	1	0	0
RPS7P8	0	0	0	0	0	0	0	0	0	0	0	0	0
RPS7P9	0	0	0	0	0	0	0	0	0	0	0	0	0
RPS8	1916	7185	2225	6724	9468	8892	5930	1287	3032	1445	5257	937	7101
RPS8P3	0	0	0	0	0	0	0	0	0	0	0	0	0
RPS8P6	0	0	0	0	0	0	0	0	0	0	0	0	0
RPS9	4367	12961	4916	16625	6854	8581	14085	2757	6684	4617	8293	5614	15622
RPS9P1	0	0	0	0	0	0	0	0	0	0	0	0	0
RPSA	1760	4290	1453	4304	6979	7103	4851	615	1896	710	2908	434	4115
RPSAP1	0	0	0	0	0	0	0	0	0	0	0	1	0
RPSAP14	0	0	0	0	0	0	0	0	0	0	0	0	1
RPSAP15	41	81	36	67	143	126	79	27	51	5	46	12	80
RPSAP2	0	0	0	0	0	0	0	0	0	0	0	0	0
RPSAP23	0	0	0	0	0	0	0	0	0	0	0	1	0
RPSAP34	0	0	0	0	0	0	0	0	0	0	0	0	0
RPSAP35	0	0	0	0	0	0	0	0	0	0	0	0	0
RPSAP37	0	0	0	0	0	0	0	0	0	0	0	0	0
RPSAP4	0	0	0	0	0	0	0	0	1	0	0	0	0
RPSAP41	0	0	0	0	0	0	0	0	0	0	0	0	0
RPSAP42	0	0	0	0	0	0	0	10	0	0	0	0	0
RPSAP43	0	0	0	0	0	0	0	0	0	0	0	0	0
RPSAP47	33	56	17	55	2	1	52	6	0	0	0	0	43
RPSAP51	0	0	0	0	0	7	0	0	0	0	1	0	0
RPSAP52	0	0	0	0	0	0	0	0	0	0	0	0	0
RPSAP53	0	1	0	0	0	0	6	0	0	0	0	0	0
RPSAP54	31	69	3	60	71	37	28	7	0	6	23	0	46
RPSAP55	0	0	0	0	0	1	0	0	0	0	0	0	0
RPSAP56	0	0	0	4	11	0	0	0	10	0	0	0	4
RPSAP57	0	0	0	0	0	0	0	0	0	0	0	1	0
RPSAP58	81	104	29	75	48	75	166	16	85	10	27	45	96
RPSAP6	7	11	10	16	36	21	5	17	9	0	27	0	7
RPSAP63	0	0	0	0	0	0	0	0	0	0	0	0	0
RPSAP64	0	0	0	0	0	0	0	0	0	0	0	0	0
RPSAP8	12	30	1	30	62	5	13	5	0	0	11	0	26
RPSAP9	3	14	1	21	36	57	73	0	23	0	15	13	15
RPTN	0	0	0	0	0	0	20	7	0	0	0	0	0
RPTOR	534	663	558	874	547	740	833	260	792	390	902	396	637
RPUSD1	131	297	75	534	49	189	400	46	342	49	219	118	337
RPUSD2	8	33	0	46	26	82	0	9	27	4	41	38	66
RPUSD3	72	283	61	296	45	121	137	49	138	45	209	23	199
RPUSD4	53	232	43	255	219	247	174	24	111	21	170	65	181
RQCD1	465	681	276	555	641	696	879	194	278	235	522	273	584
RRAD	334	0	1377	9	322	12	620	1559	13	1093	5	161	8
RRAGA	270	345	233	519	322	446	535	73	187	189	347	196	545
RRAGB	67	210	71	216	181	141	251	33	122	153	124	40	154
RRAGC	332	419	976	508	595	430	1154	926	355	667	307	680	371
RRAGD	340	466	564	323	133	196	764	536	225	215	196	353	445
RRAS	205	481	67	603	29	220	284	33	169	56	447	120	448
RRAS2	0	16	3	0	495	281	9	0	0	25	127	6	12
RRBP1	2666	2377	1438	1998	628	1511	3392	966	1974	1458	2129	1634	2238
RREB1	1705	2518	1338	3205	1042	1965	3521	706	2825	1019	2932	1365	2904
RRH	0	0	0	0	0	0	0	0	0	0	0	0	0
RRM1	130	175	165	179	132	193	413	62	58	33	189	28	133
RRM1-AS1	0	0	0	9	0	0	0	0	0	0	0	0	0
RRM2	27	0	125	8	72	72	51	107	0	142	15	9	21
RRM2B	305	509	354	587	1216	504	1066	94	282	101	477	225	552
RRM2P2	0	0	0	0	0	0	0	0	0	0	0	0	0
RRM2P3	0	0	0	0	8	0	6	14	0	0	0	0	0
RRM2P4	0	0	0	0	0	0	0	0	0	0	0	0	0
RRN3	220	282	198	449	518	547	449	174	234	125	346	151	298
RRN3P1	155	142	150	49	208	181	239	133	260	96	152	41	126
RRN3P2	181	413	121	666	144	304	191	79	700	120	473	105	291
RRN3P3	38	92	101	161	133	165	144	72	191	102	177	56	87
RRNAD1	129	411	272	346	275	286	462	211	173	247	251	169	221
RRP1	298	639	399	920	179	239	399	314	882	244	1710	143	326
RRP12	1018	2047	1224	1866	755	629	1095	522	1825	650	1698	1218	3243
RRP15	43	133	19	112	244	134	80	10	155	6	116	12	104
RRP1B	144	545	148	518	266	522	452	129	291	35	398	88	409
RRP36	105	303	65	321	145	332	300	42	221	87	296	53	326
RRP7A	337	689	100	569	504	762	676	171	428	84	480	206	880
RRP7B	67	60	72	152	170	157	69	36	181	72	107	38	84
RRP8	74	338	115	370	291	525	230	87	298	155	457	78	326
RRP9	46	72	43	195	93	112	149	0	125	15	108	9	78
RRS1	40	127	6	140	42	122	72	41	35	45	109	0	106
RS1	0	0	0	5	0	0	0	8	0	0	4	0	0
RSAD1	132	355	55	413	230	533	312	36	363	14	343	24	301
RSAD2	3953	1206	1409	256	292	82	4180	19176	799	1368	273	27335	75
RSBN1	220	545	292	570	637	850	742	237	433	530	410	483	393
RSBN1L	140	433	147	831	497	587	659	88	646	308	680	205	424
RSBN1L-AS1	32	37	81	70	62	50	151	60	56	371	97	97	61
RSC1A1	0	0	0	0	0	0	0	0	0	0	0	0	0
RSF1	566	1114	474	1364	1287	1630	1488	328	1032	431	1431	401	944
RSF1-IT1	0	20	18	0	0	11	3	0	0	0	13	1	2
RSF1-IT2	4	22	5	22	12	20	0	0	11	0	57	8	33
RSG1	9	19	6	34	4	16	36	11	0	6	41	0	18
RSL1D1	407	1903	323	1422	1062	1255	1072	200	854	236	1138	155	1557
RSL24D1	161	1198	314	937	814	1208	682	124	552	304	853	189	1152
RSL24D1P1	0	0	0	0	1	22	0	0	0	0	7	0	1
RSL24D1P11	0	0	0	0	0	0	5	0	0	0	2	0	5
RSL24D1P2	0	0	0	0	0	0	0	0	0	0	0	0	0
RSL24D1P3	0	0	0	0	0	0	0	0	0	0	0	0	0
RSL24D1P4	0	0	0	0	0	0	0	0	0	0	0	0	0
RSL24D1P5	0	0	0	0	0	0	0	0	0	0	0	0	0
RSL24D1P6	0	3	0	0	0	0	0	0	0	0	8	0	8
RSL24D1P8	4	0	0	0	0	0	4	7	0	14	0	0	0
RSL24D1P9	0	0	0	0	0	0	0	0	0	0	0	0	0
RSPH1	0	0	3	0	0	0	0	0	0	0	0	0	0
RSPH10B	0	0	0	12	15	0	1	0	0	13	18	3	2
RSPH10B2	0	0	0	0	0	0	0	0	0	0	3	0	0
RSPH3	205	301	100	216	74	119	378	21	182	106	200	88	241
RSPH4A	0	11	5	22	11	9	20	7	25	0	12	7	6
RSPH6A	0	14	0	0	0	0	9	0	11	0	10	1	2
RSPH9	11	41	30	38	25	33	47	17	50	3	53	17	37
RSPO1	0	0	0	0	0	0	0	0	0	0	0	0	0
RSPO2	0	0	0	0	0	0	0	0	28	0	0	0	0
RSPO3	0	0	5	0	0	0	7	0	13	35	4	0	0
RSPO4	0	0	12	0	0	0	0	0	0	0	0	0	0
RSPRY1	221	357	175	566	565	290	600	141	250	122	418	168	325
RSRC1	160	446	75	476	239	345	393	53	206	19	432	197	391
RSRC2	897	1694	1071	1544	1672	1638	1362	881	1053	818	1672	531	1893
RSU1	492	879	282	874	433	927	1469	153	445	151	570	288	764
RSU1P1	0	6	7	0	0	0	0	0	0	0	0	0	0
RSU1P2	0	0	0	0	0	0	0	0	0	0	0	0	0
RSU1P3	0	0	0	0	0	0	0	0	0	0	0	0	0
RTBDN	0	0	4	0	0	0	0	14	0	9	0	0	0
RTCA	185	454	149	483	265	548	492	48	398	75	509	128	467
RTCB	994	1049	232	615	317	647	1466	134	361	161	520	384	621
RTDR1	0	0	0	0	0	6	0	0	0	0	2	0	4
RTEL1	16	81	22	84	13	13	55	5	36	56	77	56	57
RTEL1-TNFRSF6B	73	79	76	180	68	86	113	64	178	119	234	46	93
RTEL1P1	27	71	35	246	17	8	122	28	301	65	132	180	132
RTF1	218	740	254	1023	340	810	818	219	504	245	739	289	970
RTFDC1	631	976	1169	999	615	774	1635	1040	605	1357	754	1136	1376
RTKN	10	0	37	0	37	64	3	19	0	26	2	0	0
RTKN2	41	0	84	14	69	8	100	45	0	60	2	28	0
RTL1	0	0	10	0	0	0	0	0	0	0	7	0	0
RTN1	477	1146	182	823	100	582	690	88	783	179	826	140	744
RTN2	78	25	129	41	63	47	72	92	0	157	35	102	72
RTN3	808	3575	999	4780	777	1445	3099	573	1722	1064	1985	1421	4549
RTN3P1	14	20	4	17	2	11	47	12	0	13	14	17	31
RTN4	4009	4279	4267	4713	1751	2540	8147	3271	3012	3746	2919	3887	5540
RTN4IP1	27	10	18	125	18	92	75	11	124	11	104	15	52
RTN4R	6	0	15	0	0	29	0	5	0	0	3	0	3
RTN4RL1	6	6	7	0	11	0	32	0	66	47	3	0	5
RTN4RL2	4	13	10	18	14	7	29	0	45	14	10	0	10
RTP1	0	0	0	0	0	0	0	0	0	0	0	0	0
RTP2	0	0	4	0	6	0	0	8	0	167	0	0	0
RTP3	0	0	0	0	0	0	0	0	0	0	0	0	0
RTP4	76	87	21	175	36	83	106	5	48	16	88	147	36
RTTN	114	175	87	276	266	491	276	81	292	102	264	84	140
RUFY1	654	1040	488	1219	752	915	1243	459	636	399	846	536	934
RUFY2	103	285	114	307	262	287	106	68	202	57	436	23	301
RUFY3	398	833	289	1339	581	695	687	65	1070	159	1050	209	781
RUFY4	327	75	63	161	27	27	677	47	361	0	38	89	42
RUNDC1	180	227	149	514	272	173	217	107	240	79	358	57	232
RUNDC3A	0	1	0	2	5	0	0	10	16	12	19	0	1
RUNDC3B	3	16	35	59	11	51	38	63	29	129	30	0	10
RUNX1	3053	2608	3965	2182	1352	1767	4328	2414	1959	3958	2000	2368	4128
RUNX1T1	0	0	26	0	0	0	4	0	0	0	0	1	0
RUNX2	114	143	215	323	95	348	575	139	287	125	276	179	329
RUNX3	1787	2382	1227	1329	2680	5002	3492	441	777	916	1756	839	1231
RUSC1	173	238	66	262	200	221	399	108	132	175	249	51	234
RUSC1-AS1	26	27	10	88	35	39	0	6	54	62	97	0	41
RUSC2	289	519	339	720	93	210	511	191	714	323	444	243	705
RUVBL1	114	157	132	274	242	282	156	60	205	110	200	71	147
RUVBL1-AS1	11	0	14	0	34	0	32	15	0	22	9	15	12
RUVBL2	196	337	270	396	377	265	511	101	358	341	244	46	352
RWDD1	162	347	35	341	254	364	204	40	192	56	215	22	371
RWDD2A	14	22	16	45	5	7	42	8	42	14	32	1	28
RWDD2B	45	73	24	88	46	66	89	0	56	10	37	10	32
RWDD3	7	19	5	46	14	20	16	0	31	0	27	3	38
RWDD4	46	143	40	143	71	139	85	34	152	9	110	5	147
RWDD4P1	5	59	17	77	63	43	63	5	84	10	75	27	60
RWDD4P2	8	23	13	24	10	36	32	0	13	18	11	0	28
RXFP1	14	0	0	0	0	0	0	0	0	0	7	1	0
RXFP2	0	49	0	21	0	16	5	0	61	0	111	0	29
RXFP3	0	0	0	0	0	0	0	0	0	0	0	0	0
RXFP4	26	20	16	118	65	1	58	104	85	126	162	32	91
RXRA	1450	6006	3001	6720	852	2372	5069	1730	5274	5167	6769	2293	4817
RXRB	178	461	137	808	503	374	691	59	887	177	565	239	485
RXRG	0	0	0	0	0	0	0	0	0	0	0	0	0
RYBP	714	1074	2235	1370	1436	953	3289	1863	1004	2946	1116	1784	861
RYK	183	538	197	671	523	671	516	65	219	35	446	90	412
RYKP1	20	59	4	50	30	35	9	0	94	7	52	9	41
RYR1	75	86	34	110	36	143	230	20	196	20	74	32	61
RYR2	0	0	5	0	0	0	0	0	0	0	3	1	0
RYR3	0	36	18	7	49	14	7	0	66	27	32	0	17
S100A1	3	0	0	17	23	9	7	14	36	6	14	0	3
S100A10	1554	2688	1834	2226	651	1328	6600	1367	1595	1628	2104	968	3631
S100A11	2758	3034	2266	3833	578	1243	5990	1339	1602	1623	2209	2659	4915
S100A11P1	0	0	0	0	0	0	0	0	0	0	0	0	0
S100A11P2	2	10	0	1	11	1	8	0	17	19	12	5	15
S100A12	24	2224	321	1944	237	1224	772	252	657	988	1364	1486	3870
S100A13	41	21	4	32	0	0	36	8	5	0	6	11	0
S100A14	4	0	26	0	17	0	9	35	0	9	0	0	0
S100A16	26	0	56	0	48	0	16	54	0	13	0	5	0
S100A2	22	5	228	0	116	12	25	81	13	94	0	35	5
S100A3	0	3	9	1	0	0	3	0	0	0	0	0	9
S100A4	3124	9869	2092	8626	1096	5657	5811	670	2842	1443	6071	1573	10418
S100A5	3	16	0	2	0	7	6	0	30	0	0	0	3
S100A6	2670	7268	1948	7276	1080	3373	8012	940	2513	2055	4796	2678	7981
S100A7	0	0	39	0	10	0	23	182	0	8	0	7	0
S100A7A	0	0	2	0	0	0	0	38	0	0	0	0	0
S100A7L2	0	0	0	0	0	0	0	0	0	0	0	0	0
S100A8	2424	20327	3759	18475	1763	8359	6636	2733	3603	6739	10518	17275	41388
S100A9	4284	47716	8652	42839	4012	19594	16599	7153	9441	15591	25806	34142	87700
S100B	330	12	322	28	125	92	365	58	0	29	162	53	9
S100G	0	0	0	6	0	0	0	0	0	0	3	0	3
S100P	44	109	817	84	50	7	1729	1875	132	280	5	335	39
S100PBP	78	364	69	453	336	559	230	54	484	156	462	33	341
S100Z	28	212	41	481	15	74	48	8	324	0	350	19	173
S1PR1	13	53	23	20	1021	385	170	7	172	52	128	8	55
S1PR2	210	3	5	34	124	19	47	0	12	0	14	12	14
S1PR3	56	585	318	685	24	109	224	153	206	222	251	53	371
S1PR4	190	889	151	1448	276	673	637	99	708	330	671	339	1188
S1PR5	0	0	9	0	40	1647	0	18	27	0	249	0	0
SAA1	2	0	2	3	7	0	0	40	0	40	2	0	0
SAA2	0	0	0	0	0	5	0	0	0	8	0	0	0
SAA2-SAA4	0	0	0	0	0	0	0	0	0	0	0	0	0
SAA3P	0	0	0	0	0	0	0	0	0	0	0	0	0
SAA4	0	0	11	0	0	0	0	0	0	0	0	0	0
SAAL1	24	80	7	169	77	151	25	37	91	5	95	2	46
SAC3D1	92	87	15	70	4	46	128	15	57	16	46	0	122
SACM1L	245	520	216	980	645	912	883	64	469	53	772	127	619
SACS	148	292	276	310	821	757	816	106	366	208	429	46	269
SACS-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0
SAE1	417	423	233	490	296	433	825	113	423	110	387	186	465
SAFB	925	1357	1000	1494	1605	1099	2067	623	1321	739	1389	901	1582
SAFB2	701	1023	490	1228	854	988	1244	458	1288	567	1213	539	1174
SAG	0	0	4	3	0	3	4	16	0	20	6	9	3
SAGE1	9	0	0	0	0	0	0	0	0	0	0	0	0
SALL1	0	0	19	0	0	0	0	0	0	0	0	0	0
SALL1P1	0	0	0	0	0	0	0	0	0	0	0	0	0
SALL2	0	0	11	0	11	0	0	11	0	0	11	0	0
SALL3	0	0	0	0	0	0	0	0	0	0	0	0	0
SALL4	0	0	0	0	0	0	7	0	0	0	0	13	0
SALL4P1	0	0	0	0	0	0	0	0	0	0	0	0	0
SALL4P2	0	0	0	0	0	0	0	0	0	0	0	0	0
SALL4P5	0	0	0	0	0	0	0	0	0	0	0	0	0
SALL4P6	0	0	0	0	0	0	0	0	0	0	0	0	0
SALL4P7	0	0	0	0	0	0	0	8	0	0	0	0	0
SAMD1	183	401	118	286	118	166	455	111	400	107	161	59	552
SAMD10	0	12	24	0	17	49	37	20	15	93	36	0	8
SAMD11	0	1	10	47	0	0	13	0	0	30	14	0	8
SAMD11P1	16	43	38	23	6	11	14	20	36	72	22	7	73
SAMD12	0	0	9	19	144	53	17	0	0	21	43	1	3
SAMD13	0	0	0	6	0	0	9	0	0	0	2	0	0
SAMD14	16	34	14	72	36	8	10	0	30	4	43	33	3
SAMD15	6	16	16	17	23	5	4	17	10	5	17	0	2
SAMD3	0	0	4	1	20	853	8	21	48	0	132	7	4
SAMD4A	427	327	203	327	551	181	588	158	228	213	436	211	63
SAMD4B	686	631	1587	825	730	571	1422	1647	908	1321	928	1317	1034
SAMD5	0	0	35	0	7	0	3	0	0	0	0	0	0
SAMD7	0	0	0	0	0	0	0	0	0	0	0	0	0
SAMD8	512	931	767	980	836	1225	1160	530	607	686	950	541	1675
SAMD9	742	1953	428	1684	874	1358	2586	1086	1134	561	1237	3705	836
SAMD9L	1211	2020	557	2104	1258	1153	3945	760	2392	262	1727	4777	685
SAMHD1	4463	13983	2411	14896	1201	7217	11285	1336	7197	1154	11178	4615	13669
SAMM50	140	297	89	305	159	337	338	47	156	40	299	42	294
SAMSN1	2402	1182	5811	1080	3923	1822	18610	7662	1251	11395	2347	14373	1468
SAMSN1-AS1	3	0	21	0	0	0	85	45	0	68	2	48	0
SAP130	126	661	196	587	236	514	642	139	296	182	583	192	676
SAP18	436	890	507	838	832	855	1421	702	448	908	691	372	959
SAP25	0	0	0	0	0	0	0	0	0	0	0	0	0
SAP30	74	173	151	242	56	407	1204	209	1178	65	533	297	186
SAP30BP	581	1273	899	1069	785	941	1437	711	817	842	1049	587	1322
SAP30L	121	466	107	556	210	433	527	19	246	42	334	136	558
SAP30L-AS1	5	26	0	79	77	54	10	4	56	3	74	22	27
SAPCD1	0	0	0	0	0	0	0	0	0	0	0	0	0
SAPCD1-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0
SAPCD2	35	78	25	110	11	0	68	15	21	63	71	0	0
SAR1A	618	1247	876	1192	1284	1956	1741	596	662	770	1232	779	1558
SAR1AP4	0	0	0	0	0	0	0	0	0	0	0	0	0
SAR1B	174	899	507	958	534	699	931	224	406	338	832	251	882
SAR1P1	0	0	0	0	0	0	0	0	0	0	0	0	0
SAR1P3	0	0	0	0	0	0	14	0	0	0	0	0	0
SARDH	0	0	0	0	0	18	37	6	0	10	5	0	0
SARM1	15	72	15	84	27	66	113	18	66	13	133	25	36
SARNP	113	80	87	71	88	50	145	55	55	92	94	271	69
SARS	664	1319	382	1218	845	993	1187	143	876	135	1012	278	1023
SARS2	6	12	0	9	15	26	0	0	0	3	29	0	9
SART1	936	1244	294	935	376	736	1250	193	694	383	955	650	1325
SART3	418	731	272	1046	1110	877	830	199	974	138	832	189	776
SASH1	969	1449	752	803	230	722	1566	215	434	299	702	635	790
SASH3	877	3381	695	3805	1455	2490	2566	346	2539	678	2922	867	3354
SASS6	25	67	24	39	76	95	79	21	49	18	98	26	45
SAT1	33654	19283	52877	20682	15888	10254	71495	58654	14461	31070	13238	106958	13996
SAT2	423	726	271	725	253	265	599	139	339	188	394	247	791
SATB1	1580	967	1850	1305	1587	1253	4076	752	973	1215	1020	1061	1027
SATB2	4	38	19	41	0	45	37	16	15	0	55	19	51
SATB2-AS1	0	0	0	0	0	11	0	0	0	0	9	0	2
SATL1	0	20	10	30	38	15	27	0	11	0	19	1	28
SAV1	403	110	787	125	791	268	897	500	72	411	117	307	96
SAYSD1	48	73	27	113	153	111	92	25	105	0	43	0	115
SBDS	196	310	237	260	414	522	536	67	166	72	367	169	574
SBDSP1	103	222	93	203	128	281	108	24	147	41	196	29	242
SBF1	789	1181	862	1537	2325	2177	2324	804	1970	1009	2115	777	1655
SBF1P1	0	0	0	0	0	0	0	0	0	0	0	0	0
SBF2	819	2004	1810	3038	744	1162	3068	2097	2030	1417	2071	2457	2094
SBF2-AS1	30	44	51	48	63	35	30	57	28	56	65	21	62
SBK1	0	3	0	16	6	450	0	0	40	0	113	0	0
SBK2	0	0	0	0	0	0	0	0	0	0	0	1	0
SBK3	5	0	34	1	0	0	0	24	0	8	0	0	0
SBNO1	425	1262	907	1356	1602	1482	1631	567	978	602	1339	425	1609
SBNO2	3455	2137	3938	3587	2183	1122	9858	3966	2665	5324	2587	8439	4833
SBP1	0	0	0	0	0	0	0	0	0	0	0	0	0
SBSN	13	0	13	0	18	0	12	30	0	0	0	0	0
SBSPON	0	1	0	6	35	13	0	21	0	1	24	0	0
SC22CB-1D7.1	0	0	0	0	0	6	0	0	0	0	0	0	0
SC22CB-1E7.1	1	2	1	2	7	1	2	0	0	0	0	0	3
SC5D	78	63	83	77	571	170	288	55	35	68	125	51	120
SCAF1	658	1102	498	1242	482	553	1456	296	1299	458	940	733	986
SCAF11	1155	3303	1352	4023	2767	3162	3737	750	2781	1016	3338	1195	3611
SCAF4	371	944	284	1017	694	1002	868	381	1000	386	1104	195	1026
SCAF8	428	1084	480	1548	1126	1348	1028	324	971	404	1219	293	1301
SCAI	28	117	19	134	228	270	90	0	41	38	178	0	81
SCAMP1	133	441	231	527	293	458	755	51	388	207	389	63	367
SCAMP2	1040	1645	590	1915	630	1077	2451	222	1196	251	1209	586	1972
SCAMP3	253	324	144	364	277	360	544	60	284	41	293	129	378
SCAMP4	358	487	334	591	193	280	509	115	360	127	384	225	597
SCAMP5	10	12	56	3	3	6	15	0	15	1	37	0	48
SCAND1	325	855	232	583	327	698	630	107	291	184	356	150	1017
SCAND2P	36	208	45	377	82	231	107	45	377	96	277	34	163
SCAND3	0	0	0	0	0	0	0	0	0	0	3	1	0
SCAND3P1	0	0	0	0	0	0	0	0	0	0	1	0	0
SCAP	439	1034	356	1185	449	794	1740	261	1332	229	931	320	983
SCAPER	176	464	208	815	558	630	438	101	551	137	607	219	445
SCARA3	0	0	0	0	0	0	19	10	0	0	0	4	0
SCARA5	5	0	2	0	50	0	0	25	0	0	3	0	0
SCARB1	533	391	419	367	225	170	728	130	196	135	215	132	432
SCARB2	2381	2029	1269	1972	303	998	4790	577	1251	398	1278	978	1505
SCARF1	1978	390	6007	650	922	316	2539	3939	460	4449	281	5819	361
SCARF2	8	56	43	35	28	31	19	0	0	12	61	0	48
SCARNA1	148	88	177	285	555	259	78	122	92	165	70	12	486
SCARNA10	5672	12844	13526	15302	16543	16520	21812	8688	3740	9632	6539	9923	10322
SCARNA11	0	0	0	0	0	0	0	0	0	7	10	0	6
SCARNA12	0	0	0	0	0	0	0	0	0	0	0	0	0
SCARNA13	122	150	96	150	265	178	282	225	68	74	40	129	125
SCARNA14	4	0	7	6	0	0	0	0	0	7	5	0	15
SCARNA15	0	0	0	0	0	0	0	0	0	0	0	0	0
SCARNA16	0	0	0	0	0	0	0	0	0	0	0	0	0
SCARNA17	267	254	142	327	277	470	150	103	244	66	254	161	219
SCARNA18	0	0	4	3	0	0	0	0	0	0	5	0	15
SCARNA2	9321	10263	8076	9358	25235	15287	11991	6034	4189	4398	3874	7965	7180
SCARNA20	0	0	0	0	0	0	0	0	0	0	0	0	0
SCARNA21	0	1	0	38	25	9	0	0	6	0	16	6	7
SCARNA22	0	46	30	31	33	12	13	21	11	0	5	0	52
SCARNA23	0	0	1	1	0	0	0	0	8	0	0	0	0
SCARNA24	0	9	0	5	20	5	0	0	17	0	17	0	19
SCARNA3	8	25	14	76	46	39	21	21	47	12	33	26	94
SCARNA4	103	113	42	113	265	172	27	16	41	36	39	28	98
SCARNA5	1740	4050	3002	4460	10298	7281	5784	2660	1933	2105	2426	2850	3155
SCARNA6	427	933	769	1114	2891	2094	1460	692	455	697	603	569	703
SCARNA7	2052	1348	676	1243	1683	1090	1607	625	441	596	591	746	1208
SCARNA8	0	31	1	3	18	14	20	1	0	9	6	0	24
SCARNA9	194	736	520	947	1125	495	680	344	313	623	657	270	484
SCCPDH	269	406	95	291	79	220	335	35	93	72	108	108	299
SCD	342	68	587	29	46	90	671	467	44	52	47	71	148
SCD5	17	16	13	22	0	59	55	0	14	0	38	0	26
SCDP1	0	0	1	0	0	0	0	6	0	0	0	0	3
SCEL	0	0	5	0	0	0	0	0	0	0	0	0	0
